Collection Date,Tick ID,Life Stage ,Sex,Site,Combined ID,Day,Quested?,Max Height Quested (cm),Questing Height Average,Total Time Spent Questing,Average Duration Spent on a quest (sec),Infection Status ,Bacterial Species ,Notes,
5/5/2020,MS7,Nymph,NA,MS,43956 MS7,Day 1,Yes,36,36,16,16,Negative ,,,
5/5/2020,MS7,Nymph,NA,MS,43956 MS7,Day 2,Yes,16,16,48,48,Negative ,,,
5/5/2020,MS7,Nymph,NA,MS,43956 MS7,Day 3,Yes,3,3,15,15,Negative ,,,
5/5/2020,MS8,Adult,Male,MS,43956 MS8,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS8,Adult,Male,MS,43956 MS8,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS8,Adult,Male,MS,43956 MS8,Day 3,Yes,1,1,218,218,Negative ,,,
5/5/2020,MS9,Nymph,NA,MS,43956 MS9,Day 1,Yes,18,8,106,35.3,Positive,R. amblyommatis,,
5/5/2020,MS9,Nymph,NA,MS,43956 MS9,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS9,Nymph,NA,MS,43956 MS9,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS10,Adult,Female,MS,43956 MS10,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS10,Adult,Female,MS,43956 MS10,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS10,Adult,Female,MS,43956 MS10,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS11,Nymph,NA,MS,43956 MS11,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS11,Nymph,NA,MS,43956 MS11,Day 2,Yes,49,27.6,191,22.2,Negative ,,,
5/5/2020,MS11,Nymph,NA,MS,43956 MS11,Day 3,Yes,5,4.5,6,3,Negative ,,,
5/5/2020,MS12,Nymph,NA,MS,43956 MS12,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS12,Nymph,NA,MS,43956 MS12,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS12,Nymph,NA,MS,43956 MS12,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS13,Nymph,NA,MS,43956 MS13,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS13,Nymph,NA,MS,43956 MS13,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS13,Nymph,NA,MS,43956 MS13,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS14,Adult,Male,MS,43956 MS14,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS14,Adult,Male,MS,43956 MS14,Day 2,Yes,20,18.5,433,216.5,Negative ,,,
5/5/2020,MS14,Adult,Male,MS,43956 MS14,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS15,Nymph,NA,MS,43956 MS15,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS15,Nymph,NA,MS,43956 MS15,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS15,Nymph,NA,MS,43956 MS15,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS16,Nymph,NA,MS,43956 MS16,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS16,Nymph,NA,MS,43956 MS16,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS16,Nymph,NA,MS,43956 MS16,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS17,Adult,Female,MS,43956 MS17,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS17,Adult,Female,MS,43956 MS17,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS17,Adult,Female,MS,43956 MS17,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS18,Nymph,NA,MS,43956 MS18,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS18,Nymph,NA,MS,43956 MS18,Day 2,Yes,55,55,19,9.5,Negative ,,,
5/5/2020,MS18,Nymph,NA,MS,43956 MS18,Day 3,Yes,55,35.3,44,7.3,Negative ,,,
5/5/2020,MS19,Nymph,NA,MS,43956 MS19,Day 1,Yes,55,45.5,32,16,Negative ,,,
5/5/2020,MS19,Nymph,NA,MS,43956 MS19,Day 2,Yes,17,17,68,68,Negative ,,,
5/5/2020,MS19,Nymph,NA,MS,43956 MS19,Day 3,NA,NA,NA,NA,NA,Negative ,,,
5/5/2020,MS20,Nymph,NA,MS,43956 MS20,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS20,Nymph,NA,MS,43956 MS20,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS20,Nymph,NA,MS,43956 MS20,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS21,Adult,Male,MS,43956 MS21,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS21,Adult,Male,MS,43956 MS21,Day 2,Yes,21,17.5,75,37.5,Positive,R. amblyommatis,,
5/5/2020,MS21,Adult,Male,MS,43956 MS21,Day 3,Yes,55,27.5,58,9.7,Positive,R. amblyommatis,,
5/5/2020,MS22,Nymph,NA,MS,43956 MS22,Day 1,Yes,26,25.5,404,202,Negative ,,,
5/5/2020,MS22,Nymph,NA,MS,43956 MS22,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS22,Nymph,NA,MS,43956 MS22,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS23,Nymph,NA,MS,43956 MS23,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS23,Nymph,NA,MS,43956 MS23,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS23,Nymph,NA,MS,43956 MS23,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS24,Nymph,NA,MS,43956 MS24,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS24,Nymph,NA,MS,43956 MS24,Day 2,Yes,26,16,72,24,Negative ,,,
5/5/2020,MS24,Nymph,NA,MS,43956 MS24,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS25,Adult,Male,MS,43956 MS25,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS25,Adult,Male,MS,43956 MS25,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS25,Adult,Male,MS,43956 MS25,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS26,Adult,Female,MS,43956 MS26,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS26,Adult,Female,MS,43956 MS26,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS26,Adult,Female,MS,43956 MS26,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS27,Nymph,NA,MS,43956 MS27,Day 1,Yes,50,30.2,252,50.4,Negative ,,,
5/5/2020,MS27,Nymph,NA,MS,43956 MS27,Day 2,Yes,50,30.2,252,50.4,Negative ,,,
5/5/2020,MS27,Nymph,NA,MS,43956 MS27,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS28,Adult,Male,MS,43956 MS28,Day 1,Yes,55,32.7,10,3.3,Negative ,,,
5/5/2020,MS28,Adult,Male,MS,43956 MS28,Day 2,Yes,49,35.2,68,11.3,Negative ,,,
5/5/2020,MS28,Adult,Male,MS,43956 MS28,Day 3,Yes,17,14.5,27,13.5,Negative ,,,
5/5/2020,MS29,Nymph,NA,MS,43956 MS29,Day 1,Yes,55,45.5,11,5.5,Negative ,,,
5/5/2020,MS29,Nymph,NA,MS,43956 MS29,Day 2,Yes,55,51,193,96.5,Negative ,,,
5/5/2020,MS29,Nymph,NA,MS,43956 MS29,Day 3,Yes,37,30.75,339,84.8,Negative ,,,
5/5/2020,MS30,Nymph,NA,MS,43956 MS30,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS30,Nymph,NA,MS,43956 MS30,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS30,Nymph,NA,MS,43956 MS30,Day 3,Yes,55,39.2,135,27,Positive,R. amblyommatis,,
5/5/2020,MS31,Nymph,NA,MS,43956 MS31,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS31,Nymph,NA,MS,43956 MS31,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS31,Nymph,NA,MS,43956 MS31,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS32,Nymph,NA,MS,43956 MS32,Day 1,Yes,46,25.3,45,15,Positive,R. amblyommatis,,
5/5/2020,MS32,Nymph,NA,MS,43956 MS32,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS32,Nymph,NA,MS,43956 MS32,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS33,Nymph,NA,MS,43956 MS33,Day 1,Yes,55,55,10,3.3,Positive,R. amblyommatis,,
5/5/2020,MS33,Nymph,NA,MS,43956 MS33,Day 2,Yes,55,44,75,25,Positive,R. amblyommatis,,
5/5/2020,MS33,Nymph,NA,MS,43956 MS33,Day 3,No,,,,,Positive,R. amblyommatis,,
5/5/2020,MS34,Adult,Male,MS,43956 MS34,Day 1,Yes,26,25,206,68.7,Positive,R. amblyommatis,,
5/5/2020,MS34,Adult,Male,MS,43956 MS34,Day 2,Yes,55,51,423,70.5,Positive,R. amblyommatis,,
5/5/2020,MS34,Adult,Male,MS,43956 MS34,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS35,Nymph,NA,MS,43956 MS35,Day 1,Yes,55,39.1,137,13.7,Negative ,,,
5/5/2020,MS35,Nymph,NA,MS,43956 MS35,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS35,Nymph,NA,MS,43956 MS35,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS36,Nymph,NA,MS,43956 MS36,Day 1,Yes,55,38.7,90,15,Positive,R. amblyommatis,,
5/5/2020,MS36,Nymph,NA,MS,43956 MS36,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS36,Nymph,NA,MS,43956 MS36,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS37,Nymph,NA,MS,43956 MS37,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS37,Nymph,NA,MS,43956 MS37,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS37,Nymph,NA,MS,43956 MS37,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS38,Nymph,NA,MS,43956 MS38,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS38,Nymph,NA,MS,43956 MS38,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS38,Nymph,NA,MS,43956 MS38,Day 3,Yes,39,28.6,68,13.6,Negative ,,,
5/5/2020,MS39,Adult,Male,MS,43956 MS39,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS39,Adult,Male,MS,43956 MS39,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS39,Adult,Male,MS,43956 MS39,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS40,Adult,Female,MS,43956 MS40,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS40,Adult,Female,MS,43956 MS40,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS40,Adult,Female,MS,43956 MS40,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS41,Adult,Male,MS,43956 MS41,Day 1,Yes,55,55,26,6.5,Negative ,,,
5/5/2020,MS41,Adult,Male,MS,43956 MS41,Day 2,Yes,20,10.6,105,21,Negative ,,,
5/5/2020,MS41,Adult,Male,MS,43956 MS41,Day 3,No,,,,,Negative ,,,
5/5/2020,MS42,Nymph,NA,MS,43956 MS42,Day 1,Yes,12,12,17,17,Negative ,,,
5/5/2020,MS42,Nymph,NA,MS,43956 MS42,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS42,Nymph,NA,MS,43956 MS42,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS43,Nymph,NA,MS,43956 MS43,Day 1,Yes,3,3,7,7,Negative ,,,
5/5/2020,MS43,Nymph,NA,MS,43956 MS43,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS43,Nymph,NA,MS,43956 MS43,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS44,Adult,Female,MS,43956 MS44,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS44,Adult,Female,MS,43956 MS44,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS44,Adult,Female,MS,43956 MS44,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS45,Adult,Male,MS,43956 MS45,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS45,Adult,Male,MS,43956 MS45,Day 2,Yes,50,29.7,397,66.2,Negative ,,,
5/5/2020,MS45,Adult,Male,MS,43956 MS45,Day 3,Yes,41,25.8,283,47.2,Negative ,,,
5/5/2020,MS46,Nymph,NA,MS,43956 MS46,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS46,Nymph,NA,MS,43956 MS46,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS46,Nymph,NA,MS,43956 MS46,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS47,Nymph,NA,MS,43956 MS47,Day 1,Yes,55,40.3,10,2.5,Negative ,,,
5/5/2020,MS47,Nymph,NA,MS,43956 MS47,Day 2,Yes,40,19.8,105,17.5,Negative ,,,
5/5/2020,MS47,Nymph,NA,MS,43956 MS47,Day 3,Yes,52,50,23,11.5,Negative ,,,
5/5/2020,MS48,Nymph,NA,MS,43956 MS48,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS48,Nymph,NA,MS,43956 MS48,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS48,Nymph,NA,MS,43956 MS48,Day 3,Yes,53,37,161,40.3,Negative ,,,
5/5/2020,MS49,Nymph,NA,MS,43956 MS49,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS49,Nymph,NA,MS,43956 MS49,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS49,Nymph,NA,MS,43956 MS49,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS50,Adult,Female,MS,43956 MS50,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS50,Adult,Female,MS,43956 MS50,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS50,Adult,Female,MS,43956 MS50,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS51,Adult,Female,MS,43956 MS51,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS51,Adult,Female,MS,43956 MS51,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS51,Adult,Female,MS,43956 MS51,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS52,Adult,Female,MS,43956 MS52,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS52,Adult,Female,MS,43956 MS52,Day 2,Yes,7,7,241,241,Negative ,,,
5/5/2020,MS52,Adult,Female,MS,43956 MS52,Day 3,Yes,23,14,512,170.7,Negative ,,,
5/5/2020,MS53,Nymph,NA,MS,43956 MS53,Day 1,Yes,55,43.3,90,22.5,Negative ,,,
5/5/2020,MS53,Nymph,NA,MS,43956 MS53,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS53,Nymph,NA,MS,43956 MS53,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS54,Nymph,NA,MS,43956 MS54,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS54,Nymph,NA,MS,43956 MS54,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS54,Nymph,NA,MS,43956 MS54,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS55,Nymph,NA,MS,43956 MS55,Day 1,Yes,27,27,2,2,Negative ,,,
5/5/2020,MS55,Nymph,NA,MS,43956 MS55,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS55,Nymph,NA,MS,43956 MS55,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS56,Adult,Male,MS,43956 MS56,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS56,Adult,Male,MS,43956 MS56,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS56,Adult,Male,MS,43956 MS56,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS57,Adult,Female,MS,43956 MS57,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS57,Adult,Female,MS,43956 MS57,Day 2,Yes,38,29.7,317,105.7,Positive,R. amblyommatis,,
5/5/2020,MS57,Adult,Female,MS,43956 MS57,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS58,Adult,Male,MS,43956 MS58,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS58,Adult,Male,MS,43956 MS58,Day 2,No,0,0,0,0,Negative ,,,
5/5/2020,MS58,Adult,Male,MS,43956 MS58,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS59,Nymph,NA,MS,43956 MS59,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS59,Nymph,NA,MS,43956 MS59,Day 2,Yes,47,30.5,6,3,Negative ,,,
5/5/2020,MS59,Nymph,NA,MS,43956 MS59,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS60,Adult,Male,MS,43956 MS60,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS60,Adult,Male,MS,43956 MS60,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS60,Adult,Male,MS,43956 MS60,Day 3,Yes,34,20.5,5,2.5,Positive,R. amblyommatis,,
5/5/2020,MS61,Nymph,NA,MS,43956 MS61,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS61,Nymph,NA,MS,43956 MS61,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS61,Nymph,NA,MS,43956 MS61,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW1,Adult,Female,CW,43963 CW1,Day 1,Yes,39,26.6,66,13.2,Positive,R. amblyommatis,,
5/12/2020,CW1,Adult,Female,CW,43963 CW1,Day 2,Yes,31,18.1,308,44,Positive,R. amblyommatis,,
5/12/2020,CW1,Adult,Female,CW,43963 CW1,Day 3,Yes,24,12.3,15,3.8,Positive,R. amblyommatis,,
5/12/2020,CW2,Nymph,NA,CW,43963 CW2,Day 1,Yes,54,41,128,25.6,Negative ,,,
5/12/2020,CW2,Nymph,NA,CW,43963 CW2,Day 2,Yes,42,27.7,487,162.3,Negative ,,,
5/12/2020,CW2,Nymph,NA,CW,43963 CW2,Day 3,Yes,20,20,2,2,Negative ,,,
5/12/2020,CW3,Nymph,NA,CW,43963 CW3,Day 1,No,0,0,0,0,Positive,,,
5/12/2020,CW3,Nymph,NA,CW,43963 CW3,Day 2,No,0,0,0,0,Positive,,,
5/12/2020,CW3,Nymph,NA,CW,43963 CW3,Day 3,No,0,0,0,0,Positive,,,
5/12/2020,CW4,Adult,Male,CW,43963 CW4,Day 1,No,0,0,0,0,Negative ,,,
5/12/2020,CW4,Adult,Male,CW,43963 CW4,Day 2,Yes,26,26,82,82,Negative ,,,
5/12/2020,CW4,Adult,Male,CW,43963 CW4,Day 3,No,0,0,0,0,Negative ,,,
5/12/2020,CW5,Adult,Female,CW,43963 CW5,Day 1,No,0,0,0,0,Negative ,,,
5/12/2020,CW5,Adult,Female,CW,43963 CW5,Day 2,Yes,27,16.3,63,15.8,Negative ,,,
5/12/2020,CW5,Adult,Female,CW,43963 CW5,Day 3,Yes,32,31.5,21,10.5,Negative ,,,
5/12/2020,CW6,Adult,Female,CW,43963 CW6,Day 1,No,0,0,0,0,Negative ,,,
5/12/2020,CW6,Adult,Female,CW,43963 CW6,Day 2,Yes,19,16.3,103,34.3,Negative ,,,
5/12/2020,CW6,Adult,Female,CW,43963 CW6,Day 3,No,0,0,0,0,Negative ,,,
5/12/2020,CW7,Adult,Female,CW,43963 CW7,Day 1,Yes,36,24.4,149,29.8,Positive,R. amblyommatis,,
5/12/2020,CW7,Adult,Female,CW,43963 CW7,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW7,Adult,Female,CW,43963 CW7,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW8,Adult,Male,CW,43963 CW8,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW8,Adult,Male,CW,43963 CW8,Day 2,Yes,55,42.9,177,22.1,Positive,R. amblyommatis,,
5/12/2020,CW8,Adult,Male,CW,43963 CW8,Day 3,Yes,11,11,2,2,Positive,R. amblyommatis,,
5/12/2020,CW9,Nymph,NA,CW,43963 CW9,Day 1,No,0,0,0,0,Negative ,,,
5/12/2020,CW9,Nymph,NA,CW,43963 CW9,Day 2,Yes,55,47,28,14,Negative ,,,
5/12/2020,CW9,Nymph,NA,CW,43963 CW9,Day 3,Yes,55,49.7,41,13.7,Negative ,,,
5/12/2020,CW10,Nymph,NA,CW,43963 CW10,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW10,Nymph,NA,CW,43963 CW10,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW10,Nymph,NA,CW,43963 CW10,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW11,Adult,Male,CW,43963 CW11,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW11,Adult,Male,CW,43963 CW11,Day 2,Yes,2,2,2,2,Positive,R. amblyommatis,,
5/12/2020,CW11,Adult,Male,CW,43963 CW11,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW12,Adult,Male,CW,43963 CW12,Day 1,No,0,0,0,0,Negative ,,,
5/12/2020,CW12,Adult,Male,CW,43963 CW12,Day 2,No,0,0,0,0,Negative ,,,
5/12/2020,CW12,Adult,Male,CW,43963 CW12,Day 3,Yes,10,10,305,305,Negative ,,,
5/12/2020,CW13,Adult,Male,CW,43963 CW13,Day 1,Yes,39,39,10,10,Negative ,,,
5/12/2020,CW13,Adult,Male,CW,43963 CW13,Day 2,No,,,,,Negative ,,,
5/12/2020,CW13,Adult,Male,CW,43963 CW13,Day 3,Yes,44,21,28,9.3,Negative ,,,
5/12/2020,CW14,Nymph,NA,CW,43963 CW14,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW14,Nymph,NA,CW,43963 CW14,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW14,Nymph,NA,CW,43963 CW14,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW15,Adult,Male,CW,43963 CW15,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW15,Adult,Male,CW,43963 CW15,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW15,Adult,Male,CW,43963 CW15,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW16,Adult,Male,CW,43963 CW16,Day 1,Yes,37,30.5,5,2.5,Negative ,,,
5/12/2020,CW16,Adult,Male,CW,43963 CW16,Day 2,No,0,0,0,0,Negative ,,,
5/12/2020,CW16,Adult,Male,CW,43963 CW16,Day 3,No,0,0,0,0,Negative ,,,
5/12/2020,CW17,Nymph,NA,CW,43963 CW17,Day 1,Yes,55,55,48,24,Negative ,,,
5/12/2020,CW17,Nymph,NA,CW,43963 CW17,Day 2,Yes,55,39.3,69,23,Negative ,,,
5/12/2020,CW17,Nymph,NA,CW,43963 CW17,Day 3,Yes,55,50.7,279,46.5,Negative ,,,
5/12/2020,CW18,Adult,Female,CW,43963 CW18,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW18,Adult,Female,CW,43963 CW18,Day 2,Yes,10,10,7,7,Positive,R. amblyommatis,,
5/12/2020,CW18,Adult,Female,CW,43963 CW18,Day 3,Yes,30,27.5,409,204.5,Positive,R. amblyommatis,,
5/12/2020,CW19,Adult,Female,CW,43963 CW19,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW19,Adult,Female,CW,43963 CW19,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW19,Adult,Female,CW,43963 CW19,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/12/2020,CW20,Nymph,NA,CW,43963 CW20,Day 1,No,0,0,0,0,Negative ,,,
5/12/2020,CW20,Nymph,NA,CW,43963 CW20,Day 2,No,0,0,0,0,Negative ,,,
5/12/2020,CW20,Nymph,NA,CW,43963 CW20,Day 3,No,0,0,0,0,Negative ,,,
5/12/2020,CW21,Nymph,NA,CW,43963 CW21,Day 1,No,0,0,0,0,Negative ,,,
5/12/2020,CW21,Nymph,NA,CW,43963 CW21,Day 2,No,0,0,0,0,Negative ,,,
5/12/2020,CW21,Nymph,NA,CW,43963 CW21,Day 3,No,0,0,0,0,Negative ,,,
5/13/2020,SF1,Adult,Male,SF,43964 SF1,Day 1,Yes,18,18,5,5,Negative ,,,
5/13/2020,SF1,Adult,Male,SF,43964 SF1,Day 2,No,0,0,0,0,Negative ,,,
5/13/2020,SF1,Adult,Male,SF,43964 SF1,Day 3,No,0,0,0,0,Negative ,,,
